0, 0, 0.000000, -nan, 0, 0, -nan, -nan
0, 0, 0.000000, -nan, 0, 0, -nan, -nan
0, 0, 0.000000, -nan, 0, 0, -nan, -nan
0, 0, 0.000000, -nan, 0, 0, -nan, -nan
0, 0, 0.000000, -nan, 0, 0, -nan, -nan
0, 0, 0.000000, -nan, 0, 0, -nan, -nan
0, 0, 0.000000, -nan, 0, 0, -nan, -nan
0, 0, 0.000000, -nan, 0, 0, -nan, -nan
0, 0, 0.000000, -nan, 0, 0, -nan, -nan
0, 0, 0.000000, -nan, 0, 0, -nan, -nan
0, 0, 0.000000, -nan, 0, 0, -nan, -nan
0, 0, 0.000000, -nan, 0, 0, -nan, -nan
0, 0, 0.000000, -nan, 0, 0, -nan, -nan
0, 0, 0.000000, -nan, 0, 0, -nan, -nan
0, 0, 0.000000, -nan, 0, 0, -nan, -nan
0, 0, 0.000000, -nan, 0, 0, -nan, -nan
0, 0, 0.000000, -nan, 0, 0, -nan, -nan
0, 0, 0.000000, -nan, 0, 0, -nan, -nan
0, 0, 0.000000, -nan, 0, 0, -nan, -nan
0, 0, 0.000000, -nan, 0, 0, -nan, -nan
0, 0, 0.000000, -nan, 0, 0, -nan, -nan
0, 0, 0.000000, -nan, 0, 0, -nan, -nan
0, 0, 0.000000, -nan, 0, 0, -nan, -nan
0, 0, 0.000000, -nan, 0, 0, -nan, -nan
0, 0, 0.000000, -nan, 0, 0, -nan, -nan
0, 0, 0.000000, -nan, 0, 0, -nan, -nan
0, 0, 0.000000, -nan, 0, 0, -nan, -nan
0, 0, 0.000000, -nan, 0, 0, -nan, -nan
0, 0, 0.000000, -nan, 0, 0, -nan, -nan
0, 0, 0.000000, -nan, 0, 0, -nan, -nan
0, 0, 0.000000, -nan, 0, 0, -nan, -nan
0, 0, 0.000000, -nan, 0, 0, -nan, -nan
0, 0, 0.000000, -nan, 0, 0, -nan, -nan
0, 0, 0.000000, -nan, 0, 0, -nan, -nan
0, 0, 0.000000, -nan, 0, 0, -nan, -nan
0, 0, 0.000000, -nan, 0, 0, -nan, -nan
0, 0, 0.000000, -nan, 0, 0, -nan, -nan
0, 0, 0.000000, -nan, 0, 0, -nan, -nan
0, 0, 0.000000, -nan, 0, 0, -nan, -nan
0, 0, 0.000000, -nan, 0, 0, -nan, -nan
0, 0, 0.000000, -nan, 0, 0, -nan, -nan
0, 0, 0.000000, -nan, 0, 0, -nan, -nan
0, 0, 0.000000, -nan, 0, 0, -nan, -nan
0, 0, 0.000000, -nan, 0, 0, -nan, -nan
0, 0, 0.000000, -nan, 0, 0, -nan, -nan
0, 0, 0.000000, -nan, 0, 0, -nan, -nan
0, 0, 0.000000, -nan, 0, 0, -nan, -nan
0, 0, 0.000000, -nan, 0, 0, -nan, -nan
0, 0, 0.000000, -nan, 0, 0, -nan, -nan
0, 0, 0.000000, -nan, 0, 0, -nan, -nan
0, 0, 0.000000, -nan, 0, 0, -nan, -nan
0, 0, 0.000000, -nan, 0, 0, -nan, -nan
0, 0, 0.000000, -nan, 0, 0, -nan, -nan
0, 0, 0.000000, -nan, 0, 0, -nan, -nan
0, 0, 0.000000, -nan, 0, 0, -nan, -nan
0, 0, 0.000000, -nan, 0, 0, -nan, -nan
